OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,FullBath,YearBuilt
5,1114,0.0,1114.0,1114,1,2004
5,1114,2.0,1114.0,1114,2,2003
7,1450,3.0,1450.0,1450,2,2008
7,2122,2.0,913.0,913,2,1996
6,1730,2.0,816.0,833,2,1992
6,1332,2.0,1332.0,1332,2,1990
7,1540,2.0,754.0,754,2,1994
6,1400,2.0,676.0,698,2,1986
6,1882,2.0,0.0,964,2,1981
5,980,2.0,980.0,980,1,1962
5,864,2.0,864.0,864,1,1961
5,864,1.0,864.0,864,1,1961
5,1020,1.0,1024.0,1020,2,1965
5,912,1.0,912.0,912,1,1963
5,912,1.0,912.0,912,1,1962
8,2014,3.0,2014.0,2014,2,1980
7,1755,2.0,975.0,975,2,1991
7,3005,3.0,1376.0,1376,2,2004
6,1726,2.0,1726.0,1726,2,2008
6,1256,2.0,1145.0,1256,1,2008
6,1512,2.0,756.0,756,2,2000
7,1452,2.0,691.0,713,2,1999
8,1694,2.0,1694.0,1694,2,1977
7,1740,2.0,1740.0,1740,1,1981
8,2499,2.0,392.0,1487,2,1976
7,2067,2.0,752.0,1285,2,1974
6,2640,2.0,932.0,1271,2,1967
5,1336,2.0,1288.0,1336,2,1969
6,1216,1.0,1216.0,1216,1,1969
7,2288,2.0,908.0,1316,1,1977
5,864,1.0,864.0,864,1,1967
5,1568,2.0,1568.0,1568,1,1967
7,2061,2.0,1165.0,1165,2,1974
6,1320,2.0,1232.0,1320,2,1971
4,894,2.0,894.0,894,1,1960
5,864,1.0,864.0,864,1,1959
4,1362,3.0,1040.0,1362,1,1957
5,1728,2.0,1048.0,1728,2,1956
5,1313,2.0,1313.0,1313,1,1961
5,1292,2.0,1292.0,1292,1,1964
5,2140,2.0,744.0,825,2,1965
6,1576,2.0,1208.0,1576,1,1961
5,960,1.0,960.0,960,1,1955
6,1691,2.0,1680.0,1691,1,1967
6,1453,2.0,1453.0,1453,2,1961
6,1567,2.0,1562.0,1567,2,1966
5,1144,1.0,1169.0,1144,1,1956
7,1329,2.0,1329.0,1329,1,1960
6,988,1.0,988.0,988,2,1959
5,1202,1.0,1202.0,1202,1,1956
5,1382,1.0,1382.0,1382,1,1955
4,1200,1.0,1200.0,1200,1,1956
5,1866,2.0,1866.0,1866,2,1958
6,1062,1.0,1062.0,1062,1,1954
5,1112,2.0,631.0,1112,1,1951
5,793,1.0,793.0,793,1,1945
5,1031,1.0,1031.0,1031,1,1952
5,1210,1.0,0.0,1210,1,1953
7,1527,2.0,699.0,801,1,1948
5,1200,1.0,1200.0,1200,1,1950
3,792,1.0,792.0,792,1,1958
5,1352,2.0,676.0,676,2,1939
4,1039,1.0,405.0,717,1,1900
5,1078,1.0,1054.0,1078,1,1925
4,2377,2.0,1313.0,1313,2,1915
7,1690,2.0,560.0,930,2,1910
2,599,0.0,416.0,599,1,1940
5,846,2.0,720.0,846,1,1920
3,725,1.0,630.0,725,1,1890
6,2544,3.0,1248.0,1248,2,1969
6,1380,1.0,1380.0,1380,1,1963
6,1040,2.0,1040.0,1040,1,1967
6,951,2.0,951.0,951,1,1958
6,1105,1.0,1105.0,1105,1,1957
6,1142,1.0,160.0,1142,1,1958
6,1133,2.0,795.0,765,1,1950
5,1041,1.0,1041.0,1041,1,1958
5,732,1.0,732.0,732,1,1952
5,1183,1.0,528.0,1183,1,1959
4,1461,1.0,832.0,832,2,1949
6,1495,2.0,864.0,1064,1,1948
6,1806,2.0,780.0,993,1,1964
5,941,2.0,941.0,941,1,1978
6,1045,1.0,1045.0,1045,1,1963
6,1378,1.0,901.0,861,1,1935
6,1944,2.0,972.0,972,2,1910
5,1306,2.0,240.0,810,1,1910
5,1464,0.0,504.0,764,2,1910
5,1558,2.0,690.0,868,1,1939
4,1701,0.0,600.0,1101,2,1920
5,1447,0.0,801.0,801,1,1910
5,1328,1.0,768.0,768,1,1950
4,861,2.0,861.0,861,1,1920
2,612,1.0,0.0,612,1,1940
5,792,1.0,624.0,792,1,1923
4,1510,2.0,677.0,833,2,1910
6,2007,1.0,917.0,1090,2,1900
6,1288,1.0,624.0,664,1,1917
4,816,0.0,624.0,816,1,1910
6,1480,1.0,972.0,1044,1,1920
6,1521,3.0,741.0,780,1,1910
3,797,0.0,245.0,797,1,1900
6,1432,1.0,1022.0,1432,1,1923
5,1654,1.0,297.0,1001,2,1930
5,1142,1.0,468.0,822,1,1924
5,995,1.0,960.0,995,1,1925
5,1582,1.0,952.0,994,2,1938
5,1072,5.0,1072.0,1072,1,1925
6,1768,2.0,1048.0,1048,2,1915
7,1944,1.0,672.0,1272,2,1915
5,2128,0.0,1040.0,1088,2,1922
6,1930,1.0,720.0,1146,2,1927
6,1427,1.0,483.0,741,1,1915
7,1864,0.0,1020.0,978,2,1902
6,1666,1.0,1204.0,1204,1,1927
4,892,0.0,858.0,892,1,1923
6,1403,1.0,698.0,754,1,1915
4,704,1.0,560.0,704,1,1946
5,1200,0.0,1200.0,1200,3,1987
5,1152,1.0,1152.0,1152,2,1978
5,1112,1.0,585.0,687,2,1934
5,1052,1.0,1052.0,1052,1,1967
6,1034,2.0,456.0,1034,1,1978
5,1774,1.0,552.0,904,2,1961
6,1138,2.0,1138.0,1138,1,1960
5,2071,1.0,825.0,2071,1,1956
2,660,0.0,0.0,660,1,1947
4,1383,2.0,0.0,1383,1,1954
5,1073,1.0,1073.0,1073,1,1956
6,1639,1.0,747.0,892,1,1946
5,1089,1.0,1089.0,1089,1,1954
5,1049,1.0,1049.0,1049,2,1984
7,1061,2.0,1054.0,1061,1,1990
6,1338,2.0,520.0,1338,1,1983
7,1879,2.0,1079.0,1079,2,1993
5,2016,2.0,0.0,1288,1,1880
5,2228,2.0,0.0,1114,2,1979
5,1535,2.0,0.0,1535,2,1979
5,1229,2.0,1094.0,1229,0,1979
5,1513,2.0,0.0,1513,2,1979
7,2787,4.0,1168.0,1168,4,2000
7,2787,4.0,1168.0,1168,4,2000
7,2787,4.0,1168.0,1168,4,2000
9,1680,3.0,1555.0,1680,1,2009
9,1720,3.0,1720.0,1720,2,2008
8,1468,3.0,1468.0,1468,2,2008
8,1838,2.0,1838.0,1838,2,2007
7,1290,2.0,1282.0,1290,2,2007
8,1254,3.0,1254.0,1254,2,2008
8,1498,3.0,1498.0,1498,2,2005
6,1422,2.0,704.0,704,2,2005
7,1759,2.0,1449.0,944,2,1992
5,990,1.0,990.0,990,1,1994
7,1463,2.0,1463.0,1463,2,1998
6,1772,2.0,928.0,928,2,1998
7,1444,2.0,1431.0,1444,2,2002
7,1492,2.0,1492.0,1492,2,2001
5,907,1.0,907.0,907,1,1978
5,914,2.0,914.0,914,1,1979
7,1611,3.0,1569.0,1611,2,2002
8,2184,2.0,1068.0,1068,2,2003
7,1725,2.0,840.0,840,2,2002
7,1870,2.0,944.0,944,2,2001
8,1513,2.0,1462.0,1513,2,1999
8,1828,2.0,1822.0,1828,2,2002
7,1417,2.0,1417.0,1417,2,1997
8,1602,3.0,1578.0,1602,2,2007
6,1396,2.0,608.0,608,2,2007
4,1149,1.0,1014.0,1149,1,1960
6,1072,2.0,547.0,1072,1,2005
4,876,1.0,876.0,876,1,1959
5,1368,1.0,1078.0,1368,1,1950
5,1678,0.0,1678.0,1678,2,1959
5,1560,1.0,1150.0,1560,1,1956
5,1298,1.0,720.0,854,1,1941
5,1268,1.0,832.0,832,1,1938
6,1242,1.0,583.0,647,1,1935
6,1232,2.0,816.0,1232,1,1916
7,1228,1.0,600.0,628,1,1918
5,1567,2.0,840.0,840,1,1940
5,1273,1.0,1273.0,1273,1,1960
7,2480,2.0,920.0,1240,2,1940
5,1112,1.0,1112.0,1112,1,1954
6,1561,2.0,1561.0,1561,2,1960
5,1523,1.0,1067.0,986,2,1949
6,1906,2.0,1310.0,1906,1,1954
6,1032,2.0,516.0,516,1,1980
6,1229,2.0,561.0,561,1,1980
6,1229,2.0,561.0,561,1,1980
6,1982,2.0,572.0,1182,2,1986
7,2365,2.0,1803.0,2365,2,1971
5,2168,2.0,760.0,928,2,1900
4,572,1.0,572.0,572,1,1925
8,1648,2.0,1596.0,1648,2,2007
2,810,1.0,0.0,810,1,1910
8,2052,3.0,1107.0,1040,2,2000
6,926,1.0,902.0,926,1,1977
6,1287,2.0,957.0,1287,1,1977
5,1595,2.0,1582.0,1595,2,1991
9,2036,3.0,2190.0,2036,2,2008
9,1641,3.0,1641.0,1641,2,2008
6,2237,2.0,712.0,1375,2,1980
7,1479,2.0,1645.0,1479,2,1987
7,2014,2.0,912.0,1072,2,2003
9,1978,3.0,1978.0,1978,2,2007
5,1008,1.0,1008.0,1008,1,1968
5,1404,2.0,1188.0,1404,2,1969
5,796,1.0,796.0,796,1,1972
6,1091,1.0,384.0,1091,1,1993
5,883,2.0,828.0,883,1,1992
5,1287,2.0,624.0,624,1,1992
5,1632,2.0,784.0,784,1,1969
6,1604,2.0,926.0,926,2,1997
6,1470,2.0,680.0,680,2,1995
6,1604,2.0,926.0,926,2,1998
6,1636,2.0,916.0,916,2,1996
5,1384,2.0,1348.0,1384,2,1996
8,1682,2.0,1664.0,1682,1,1997
8,1280,2.0,1280.0,1280,2,1992
6,1633,2.0,932.0,932,2,1998
6,1709,2.0,836.0,851,2,1991
8,1337,2.0,1337.0,1337,2,1989
8,2500,3.0,1168.0,1168,3,2005
9,1884,3.0,1884.0,1884,2,2004
6,1474,2.0,1632.0,1474,1,1952
9,1710,2.0,1710.0,1710,2,2007
6,1488,2.0,1488.0,1488,2,1950
7,1688,2.0,1675.0,1688,2,1988
7,1260,2.0,1260.0,1260,2,1983
7,2064,2.0,2048.0,2064,2,1978
7,1782,2.0,1782.0,1782,2,1979
6,1211,2.0,1211.0,1211,2,1976
7,2044,2.0,738.0,1277,2,1980
5,1308,2.0,720.0,720,1,1969
7,2840,4.0,1420.0,1420,2,1978
6,1444,2.0,1444.0,1444,2,1976
8,2340,3.0,1236.0,1236,2,1996
5,1792,2.0,896.0,896,2,1974
4,936,1.0,936.0,936,1,1969
5,864,2.0,864.0,864,1,1971
6,987,1.0,483.0,483,1,1973
6,987,1.0,483.0,483,1,1972
5,1302,1.0,630.0,630,2,1972
6,1456,2.0,855.0,855,2,1975
7,1055,2.0,1055.0,1055,2,1977
8,1582,3.0,1582.0,1582,2,2007
8,2464,3.0,2418.0,2464,2,2007
9,1950,3.0,1950.0,1950,2,2007
9,2748,3.0,1850.0,1850,2,2006
10,2790,4.0,1620.0,1632,2,2005
9,2331,3.0,1414.0,1414,2,2005
8,2088,3.0,948.0,948,2,2007
8,2332,3.0,1148.0,1170,2,2004
10,2470,3.0,2535.0,2470,1,2003
8,1575,3.0,1603.0,1575,2,2003
8,2649,3.0,1479.0,1515,2,2001
8,2690,3.0,1765.0,1804,2,2003
9,1866,3.0,1858.0,1866,2,2008
7,1367,2.0,1367.0,1367,2,2005
9,1800,3.0,1800.0,1800,2,2007
8,1342,2.0,1342.0,1342,2,2006
8,1342,2.0,1342.0,1342,2,2006
7,1626,2.0,764.0,764,2,2003
7,1455,3.0,1415.0,1455,2,2003
7,1576,3.0,1393.0,1576,2,2004
7,1246,2.0,1146.0,1246,2,2007
6,1515,2.0,789.0,813,2,2004
7,1720,2.0,840.0,840,2,2002
7,1986,2.0,847.0,847,2,2003
7,1358,2.0,1350.0,1358,2,2007
7,1892,2.0,982.0,1008,2,2000
7,1414,2.0,707.0,707,2,2002
7,2322,2.0,1037.0,1037,2,1999
7,1651,2.0,831.0,873,2,1999
8,2199,2.0,1173.0,1182,2,1997
9,2172,3.0,1519.0,1533,2,2000
8,2006,3.0,1982.0,2006,2,1998
7,2125,2.0,1064.0,1064,2,1996
8,2501,3.0,1242.0,1251,2,1995
7,2197,3.0,1080.0,1108,2,1993
7,1578,3.0,1578.0,1578,2,2006
8,1861,3.0,1341.0,1341,3,2007
8,1874,3.0,955.0,955,2,2007
8,1460,2.0,1460.0,1460,2,2006
8,1372,2.0,1363.0,1372,2,2007
8,1660,3.0,1660.0,1660,2,2007
7,1218,2.0,1218.0,1218,2,2007
6,1696,2.0,835.0,835,2,2003
7,1663,2.0,835.0,835,2,2003
6,1175,0.0,1175.0,1175,1,2005
7,1162,2.0,1162.0,1162,2,2007
6,1609,2.0,754.0,754,2,1995
6,1680,2.0,886.0,886,2,1993
7,1657,2.0,832.0,832,2,1994
6,1677,2.0,827.0,827,2,2001
7,1737,2.0,836.0,844,2,1992
5,984,1.0,984.0,984,1,1963
5,864,1.0,864.0,864,1,1961
5,890,1.0,890.0,890,1,1968
5,864,1.0,864.0,864,1,1963
6,1430,2.0,1430.0,1430,2,1974
5,1641,2.0,1001.0,1001,2,1972
6,2683,2.0,930.0,1364,2,1990
9,2786,2.0,1848.0,1827,2,1993
7,1245,2.0,1235.0,1245,2,2004
6,1200,2.0,600.0,600,2,2005
7,1392,2.0,689.0,703,2,2007
6,1549,2.0,744.0,757,2,1999
9,1638,2.0,1614.0,1638,2,2000
9,1310,2.0,1310.0,1310,1,2001
9,1419,2.0,1419.0,1419,1,2001
9,1557,2.0,1557.0,1557,2,1999
7,1404,2.0,672.0,684,2,1999
7,1789,2.0,858.0,872,2,2001
8,1586,2.0,960.0,962,2,1999
8,1607,2.0,960.0,962,2,1999
10,2393,2.0,970.0,1469,2,1998
8,1239,2.0,1230.0,1239,1,1995
9,2944,3.0,994.0,1599,2,1977
8,1671,2.0,1426.0,1671,3,1976
7,1812,2.0,952.0,952,2,2002
6,1427,2.0,1427.0,1427,2,1969
6,1740,2.0,1740.0,1740,1,1968
7,1620,2.0,1620.0,1620,2,1967
5,1625,2.0,1625.0,1625,2,1965
5,1464,2.0,732.0,732,1,1968
5,925,2.0,912.0,925,1,1965
5,1728,2.0,1728.0,1728,2,1965
7,1670,2.0,825.0,845,1,1971
5,1014,1.0,0.0,1014,1,1956
5,1114,2.0,1114.0,1114,1,1961
5,1118,1.0,1118.0,1118,1,1960
4,906,1.0,348.0,453,1,1937
5,1496,2.0,1296.0,1496,2,1960
5,1337,1.0,572.0,1337,1,1950
5,1036,1.0,1036.0,1036,1,1953
6,1988,2.0,1104.0,1104,2,1966
5,1176,1.0,1176.0,1176,1,1957
5,1440,1.0,1248.0,1440,2,1959
6,1570,2.0,1395.0,1570,1,1958
5,1104,1.0,1104.0,1104,1,1956
5,882,1.0,720.0,882,1,1952
5,1152,2.0,1152.0,1152,1,1953
5,950,2.0,984.0,950,1,1953
6,1790,2.0,998.0,1790,2,1957
5,1764,1.0,0.0,1764,2,1957
5,1824,2.0,1824.0,1824,2,1957
4,869,1.0,0.0,869,1,1948
5,1159,1.0,747.0,747,1,1925
4,672,1.0,672.0,672,1,1940
5,1436,4.0,892.0,1254,1,1922
5,1044,2.0,912.0,1044,1,1968
7,1312,2.0,1312.0,1312,1,1958
6,1081,1.0,1081.0,1081,1,1960
5,876,2.0,876.0,876,1,1951
5,1256,1.0,1256.0,1256,1,1959
5,1027,1.0,1027.0,1027,1,1962
6,1320,2.0,768.0,819,2,1948
6,984,1.0,936.0,984,1,1954
6,1278,1.0,854.0,854,1,1954
5,1800,0.0,1800.0,1800,2,1961
5,1588,2.0,768.0,1024,1,1955
5,825,1.0,825.0,825,1,1954
5,1117,1.0,1117.0,1117,1,1963
6,1133,1.0,192.0,1133,1,2008
5,1323,2.0,780.0,948,1,1948
5,1360,1.0,680.0,680,1,1910
5,672,1.0,672.0,672,1,1940
6,1456,1.0,728.0,728,1,1915
4,1594,0.0,828.0,828,2,1910
4,1656,2.0,801.0,1095,2,1940
5,1740,1.0,936.0,960,1,1920
7,1027,0.0,931.0,1027,1,1920
6,1436,2.0,884.0,884,2,1940
5,899,1.0,481.0,899,1,1910
5,1080,0.0,684.0,684,1,1890
5,1499,3.0,904.0,904,1,1946
2,407,1.0,407.0,407,1,1946
3,1588,0.0,448.0,1588,2,1949
5,1627,2.0,797.0,830,2,1900
7,1450,1.0,624.0,730,1,1920
5,1017,1.0,346.0,709,1,1900
5,2350,2.0,973.0,1377,2,1920
5,1540,0.0,572.0,884,1,1905
2,1086,2.0,723.0,723,1,1920
7,2495,2.0,1313.0,1313,2,1890
5,984,1.0,984.0,984,1,1959
4,1093,1.0,869.0,1093,1,1958
5,1143,1.0,1008.0,1143,1,1928
7,1668,1.0,672.0,1195,1,1945
5,1738,1.0,1024.0,1144,2,1935
5,1210,1.0,672.0,832,1,1941
6,1290,1.0,554.0,736,1,1900
6,1672,1.0,981.0,1014,1,1940
5,949,2.0,949.0,949,1,1924
6,1497,1.0,825.0,825,2,1937
6,1342,1.0,739.0,874,2,1939
6,1013,1.0,992.0,1013,1,1926
5,1216,1.0,565.0,565,1,1920
4,896,1.0,NA,896,1,1946
4,1136,1.0,704.0,624,1,1929
5,808,1.0,0.0,808,1,1945
7,2009,2.0,989.0,1245,2,1939
